Precip_Date,Days,Date_bin,Precip_avg(mm)
2002-10-25,2days_after,0,0.02645837523532111
2003-01-21,2days_after,0,0.4519505500216582
2003-03-15,2days_after,0,3.1989713107144424
2003-09-20,2days_after,0,23.639090716421578
2003-11-05,2days_after,0,3.047883296436841
2004-10-07,2days_after,0,0.02239644919600636
2005-01-13,2days_after,0,1.7310343033989894
2005-01-19,2days_after,0,1.918008232658353
2005-11-07,2days_after,0,0.5479742464807821
2006-07-20,2days_after,0,0.3081627930552119
2006-10-30,2days_after,0,3.2730144632718083
2006-11-08,2days_after,0,0.696194124209121
2006-11-15,2days_after,0,2.2505514396883135
2006-11-26,2days_after,0,0.06733059380669373
2007-04-15,2days_after,0,0.03773436663239565
2007-07-08,2days_after,0,0.24022176971607148
2007-08-29,2days_after,0,0.0037522815729166673
2007-10-26,2days_after,0,0.09860670747449943
2007-12-11,2days_after,0,0.18716279827396498
2008-12-24,2days_after,0,0.43760984585339635
2009-01-12,2days_after,0,1.1542885378471355
2009-01-18,2days_after,0,0.01365645440243848
2009-01-25,2days_after,0,1.925419665584118
2009-02-01,2days_after,0,0.02846024052391004
2009-02-19,2days_after,0,3.3769451725626016
2009-03-02,2days_after,0,0.5636632603991225
2009-03-30,2days_after,0,0.5643995950690546
2009-04-07,2days_after,0,0.4567656837446362
2009-06-26,2days_after,0,0.0
2009-07-07,2days_after,0,31.440127387500006
2009-08-07,2days_after,0,0.00023113881237608693
2009-09-13,2days_after,0,0.02350232136825734
2009-09-25,2days_after,0,0.3892107981699394
2009-10-02,2days_after,0,0.008887401612386367
2009-10-15,2days_after,0,0.004561495797499999
2009-10-27,2days_after,0,1.2635602426647594
2009-11-01,2days_after,0,2.513557862943477
2009-11-07,2days_after,0,0.1300223092353275
2009-12-27,2days_after,0,0.4873410979733149
2010-01-05,2days_after,0,3.7469130680063523
2010-01-10,2days_after,0,0.13877587962651525
2010-01-14,2days_after,0,0.016062716336095142
2010-01-27,2days_after,0,0.15507231230961208
2010-02-11,2days_after,0,0.34985022475261673
2010-03-25,2days_after,0,2.0850050507496705
2010-04-21,2days_after,0,0.04240792762015092
2010-08-20,2days_after,0,0.03960261039589321
2010-12-03,2days_after,0,1.9554262638882594
2010-12-25,2days_after,0,0.18660843022270354
2011-01-14,2days_after,0,0.16732143109918335
2011-11-04,2days_after,0,16.348670792864752
2012-10-29,2days_after,0,0.3432195878020352
2012-11-09,2days_after,0,15.231547703469637
2012-12-06,2days_after,0,0.8053655190543008
2013-11-10,2days_after,0,12.6386139920079
2013-11-19,2days_after,0,4.135306344212225
2014-10-30,2days_after,0,1.2756737900585489
2015-04-04,2days_after,0,0.09914130762354094
2015-04-26,2days_after,0,0.013790231536109235
2015-05-24,2days_after,0,0.3085909582844753
2015-11-15,2days_after,0,0.04692656497057713
2016-02-22,2days_after,0,0.06800115462301515
2016-10-08,2days_after,0,0.005884502044444449
2016-10-27,2days_after,0,1.973210305222589
2017-11-20,2days_after,0,3.9908698254709747
2018-01-22,2days_after,0,0.5383878802691059
2018-01-30,2days_after,0,0.4664042795169355
2018-02-05,2days_after,0,0.005618491333387099
2018-02-19,2days_after,0,5.714512232421828
2018-05-10,2days_after,0,15.506525004938275
2018-11-03,2days_after,0,5.665969150181553
2019-02-27,2days_after,0,0.016993408786759562
2019-03-28,2days_after,0,0.20243178696590405
2019-11-11,2days_after,0,10.621127601212914
